geometry,operating_temp_C,ambient_temp_C,insulation_mm,material,lambda_WmK,heat_flux_bare_Wm2,heat_flux_insulated_Wm2,heat_loss_reduction_pct,surface_temp_C,touch_safety_ISO13732_1
flat,400,0,125,mineral wool (wired),0.064,4000.0,194.8,95.1,19.5,"safe (prolonged contact, <=45C)"
flat,400,0,150,mineral wool (wired),0.064,4000.0,163.7,95.9,16.4,"safe (prolonged contact, <=45C)"
flat,400,10,0,none,,3900.0,3900.0,0.0,400,burn risk (>60C)
flat,400,10,25,mineral wool (wired),0.0653,3900.0,807.2,79.3,90.7,burn risk (>60C)
flat,400,10,50,mineral wool (wired),0.0653,3900.0,450.2,88.5,55.0,caution (brief touch)
flat,400,10,75,mineral wool (wired),0.0653,3900.0,312.1,92.0,41.2,"safe (prolonged contact, <=45C)"
flat,400,10,100,mineral wool (wired),0.0653,3900.0,238.9,93.9,33.9,"safe (prolonged contact, <=45C)"
flat,400,10,125,mineral wool (wired),0.0653,3900.0,193.5,95.0,29.3,"safe (prolonged contact, <=45C)"
flat,400,10,150,mineral wool (wired),0.0653,3900.0,162.6,95.8,26.3,"safe (prolonged contact, <=45C)"
flat,400,20,0,none,,3800.0,3800.0,0.0,400,burn risk (>60C)
flat,400,20,25,mineral wool (wired),0.0665,3800.0,798.4,79.0,99.8,burn risk (>60C)
flat,400,20,50,mineral wool (wired),0.0665,3800.0,446.1,88.3,64.6,burn risk (>60C)
flat,400,20,75,mineral wool (wired),0.0665,3800.0,309.5,91.9,50.9,"short-contact only (~1 s, bare metal)"
flat,400,20,100,mineral wool (wired),0.0665,3800.0,236.9,93.8,43.7,"safe (prolonged contact, <=45C)"
flat,400,20,125,mineral wool (wired),0.0665,3800.0,191.9,94.9,39.2,"safe (prolonged contact, <=45C)"
flat,400,20,150,mineral wool (wired),0.0665,3800.0,161.3,95.8,36.1,"safe (prolonged contact, <=45C)"
flat,400,30,0,none,,3700.0,3700.0,0.0,400,burn risk (>60C)
flat,400,30,25,mineral wool (wired),0.0678,3700.0,788.9,78.7,108.9,burn risk (>60C)
flat,400,30,50,mineral wool (wired),0.0678,3700.0,441.5,88.1,74.2,burn risk (>60C)
flat,400,30,75,mineral wool (wired),0.0678,3700.0,306.5,91.7,60.7,burn risk (>60C)
